,RN,CCTVID,CCTVNAME,CENTERNAME,XCOORD,YCOORD,URL
0,1,L280034,가덕영업소,거제교통정보센터,128.8173442,35.0256198,https://www.utic.go.kr/view/map/openDataCctvStream.jsp?key=XxTwsc3p80QmOWMFWzJ3Y6W4zJmhHXjxKGxpDAeQS9fxU8tEPej1yQhboGwXhk&cctvid=L280034&cctvName=%25EA%25B0%2580%25EB%258D%2595%25EC%2598%2581%25EC%2597%2585%25EC%2586%258C&kind=t&cctvip=null&cctvch=19&id=5fc0975374737&cctvpasswd=null&cctvport=null
1,2,L280005,거가1교,거제교통정보센터,128.7319259,35.0177349,https://www.utic.go.kr/view/map/openDataCctvStream.jsp?key=XxTwsc3p80QmOWMFWzJ3Y6W4zJmhHXjxKGxpDAeQS9fxU8tEPej1yQhboGwXhk&cctvid=L280005&cctvName=%25EA%25B1%25B0%25EA%25B0%25801%25EA%25B5%2590&kind=t&cctvip=null&cctvch=14&id=5fc0975374737&cctvpasswd=null&cctvport=null
2,3,L280003,거가1교(저도방향),거제교통정보센터,128.7214164,35.0170837,https://www.utic.go.kr/view/map/openDataCctvStream.jsp?key=XxTwsc3p80QmOWMFWzJ3Y6W4zJmhHXjxKGxpDAeQS9fxU8tEPej1yQhboGwXhk&cctvid=L280003&cctvName=%25EA%25B1%25B0%25EA%25B0%25801%25EA%25B5%2590(%25EC%25A0%2580%25EB%258F%2584%25EB%25B0%25A9%25ED%2596%25A5)&kind=t&cctvip=null&cctvch=13&id=5fc0975374737&cctvpasswd=null&cctvport=null
3,4,L280054,거가2교,거제교통정보센터,128.758293,35.0146692,https://www.utic.go.kr/view/map/openDataCctvStream.jsp?key=XxTwsc3p80QmOWMFWzJ3Y6W4zJmhHXjxKGxpDAeQS9fxU8tEPej1yQhboGwXhk&cctvid=L280054&cctvName=%25EA%25B1%25B0%25EA%25B0%25802%25EA%25B5%2590&kind=t&cctvip=null&cctvch=15&id=5fc0975374737&cctvpasswd=null&cctvport=null
4,5,L280001,거제면 귀목정,거제교통정보센터,128.58195643,34.86278339,https://www.utic.go.kr/view/map/openDataCctvStream.jsp?key=XxTwsc3p80QmOWMFWzJ3Y6W4zJmhHXjxKGxpDAeQS9fxU8tEPej1yQhboGwXhk&cctvid=L280001&cctvName=%25EA%25B1%25B0%25EC%25A0%259C%25EB%25A9%25B4%2520%25EA%25B7%2580%25EB%25AA%25A9%25EC%25A0%2595&kind=t&cctvip=null&cctvch=56&id=637bef0325205&cctvpasswd=null&cctvport=null
5,6,L280002,거제면 서정사거리,거제교통정보센터,128.5850852,34.8552036,https://www.utic.go.kr/view/map/openDataCctvStream.jsp?key=XxTwsc3p80QmOWMFWzJ3Y6W4zJmhHXjxKGxpDAeQS9fxU8tEPej1yQhboGwXhk&cctvid=L280002&cctvName=%25EA%25B1%25B0%25EC%25A0%259C%25EB%25A9%25B4%2520%25EC%2584%259C%25EC%25A0%2595%25EC%2582%25AC%25EA%25B1%25B0%25EB%25A6%25AC&kind=t&cctvip=null&cctvch=23&id=637bef0325205&cctvpasswd=null&cctvport=null
6,7,L280035,거제영업소,거제교통정보센터,128.7063061,35.013611,https://www.utic.go.kr/view/map/openDataCctvStream.jsp?key=XxTwsc3p80QmOWMFWzJ3Y6W4zJmhHXjxKGxpDAeQS9fxU8tEPej1yQhboGwXhk&cctvid=L280035&cctvName=%25EA%25B1%25B0%25EC%25A0%259C%25EC%2598%2581%25EC%2597%2585%25EC%2586%258C&kind=t&cctvip=null&cctvch=12&id=5fc0975374737&cctvpasswd=null&cctvport=null
7,8,L280004,고현동 고현버스터미널사거리,거제교통정보센터,128.6241776,34.8919761,https://www.utic.go.kr/view/map/openDataCctvStream.jsp?key=XxTwsc3p80QmOWMFWzJ3Y6W4zJmhHXjxKGxpDAeQS9fxU8tEPej1yQhboGwXhk&cctvid=L280004&cctvName=%25EA%25B3%25A0%25ED%2598%2584%25EB%258F%2599%2520%25EA%25B3%25A0%25ED%2598%2584%25EB%25B2%2584%25EC%258A%25A4%25ED%2584%25B0%25EB%25AF%25B8%25EB%2584%2590%25EC%2582%25AC%25EA%25B1%25B0%25EB%25A6%25AC&kind=t&cctvip=null&cctvch=2&id=637bef0325205&cctvpasswd=null&cctvport=null
8,9,L280006,고현동 고현사거리,거제교통정보센터,128.62390519,34.88719857,https://www.utic.go.kr/view/map/openDataCctvStream.jsp?key=XxTwsc3p80QmOWMFWzJ3Y6W4zJmhHXjxKGxpDAeQS9fxU8tEPej1yQhboGwXhk&cctvid=L280006&cctvName=%25EA%25B3%25A0%25ED%2598%2584%25EB%258F%2599%2520%25EA%25B3%25A0%25ED%2598%2584%25EC%2582%25AC%25EA%25B1%25B0%25EB%25A6%25AC&kind=t&cctvip=null&cctvch=3&id=637bef0325205&cctvpasswd=null&cctvport=null
9,10,L280007,고현동 공설운동장교차로,거제교통정보센터,128.62052283,34.88311517,https://www.utic.go.kr/view/map/openDataCctvStream.jsp?key=XxTwsc3p80QmOWMFWzJ3Y6W4zJmhHXjxKGxpDAeQS9fxU8tEPej1yQhboGwXhk&cctvid=L280007&cctvName=%25EA%25B3%25A0%25ED%2598%2584%25EB%258F%2599%2520%25EA%25B3%25B5%25EC%2584%25A4%25EC%259A%25B4%25EB%258F%2599%25EC%259E%25A5%25EA%25B5%2590%25EC%25B0%25A8%25EB%25A1%259C&kind=t&cctvip=null&cctvch=50&id=637bef0325205&cctvpasswd=null&cctvport=null
